Item	Subject	Block	Stimuli	Context	Correct	Response	RT	Lg_Heard	Main_Context	Group
A3	BE_03	Block1	Stim02	CSES	1	CS	1198	Eng	CS	nonsw
A5	BE_03	Block1	Stim26	CSES	1	CS	1670	Eng	CS	nonsw
A6	BE_03	Block1	Stim27	CSES	1	CS	2735	Eng	CS	nonsw
A8	BE_03	Block1	Stim29	CSES	1	CS	3657	Eng	CS	nonsw
A9	BE_03	Block1	Stim03	CSES	1	CS	1850	Eng	CS	nonsw
A10	BE_03	Block1	Stim32	CSES	1	CS	1697	Eng	CS	nonsw
A46	BE_03	Block2	Stim27	CSES	1	CS	1858	Eng	CS	nonsw
A47	BE_03	Block2	Stim28	CSES	1	CS	1442	Eng	CS	nonsw
A48	BE_03	Block2	Stim29	CSES	1	CS	990	Eng	CS	nonsw
A50	BE_03	Block2	Stim32	CSES	1	CS	3715	Eng	CS	nonsw
A86	BE_03	Block3	Stim27	CSES	1	CS	1624	Eng	CS	nonsw
A87	BE_03	Block3	Stim28	CSES	1	CS	808	Eng	CS	nonsw
A88	BE_03	Block3	Stim29	CSES	1	CS	1152	Eng	CS	nonsw
A126	BE_03	Block4	Stim27	CSES	1	CS	368	Eng	CS	nonsw
A128	BE_03	Block4	Stim29	CSES	1	CS	523	Eng	CS	nonsw
A130	BE_03	Block4	Stim32	CSES	1	CS	1350	Eng	CS	nonsw
A367	BE_05	Block2	Stim28	CSES	1	CS	2951	Eng	CS	nonsw
A487	BE_08	Block1	Stim28	CSES	1	CS	889	Eng	CS	nonsw
A488	BE_08	Block1	Stim29	CSES	1	CS	516	Eng	CS	nonsw
A525	BE_08	Block2	Stim26	CSES	1	CS	819	Eng	CS	nonsw
A526	BE_08	Block2	Stim27	CSES	1	CS	1108	Eng	CS	nonsw
A530	BE_08	Block2	Stim32	CSES	1	CS	817	Eng	CS	nonsw
A609	BE_08	Block4	Stim03	CSES	1	CS	575	Eng	CS	nonsw
A649	BE_10	Block1	Stim03	CSES	1	CS	3746	Eng	CS	nonsw
A842	BE_12	Block2	Stim17	CSES	1	CS	7123	Eng	CS	nonsw
A930	BE_12	Block4	Stim32	CSES	1	CS	5246	Eng	CS	nonsw
A965	BE_13	Block1	Stim26	CSES	1	CS	3610	Eng	CS	nonsw
A967	BE_13	Block1	Stim28	CSES	1	CS	3369	Eng	CS	nonsw
A970	BE_13	Block1	Stim32	CSES	1	CS	2045	Eng	CS	nonsw
A1005	BE_13	Block2	Stim26	CSES	1	CS	1897	Eng	CS	nonsw
A1007	BE_13	Block2	Stim28	CSES	1	CS	1243	Eng	CS	nonsw
A1082	BE_13	Block4	Stim17	CSES	1	CS	767	Eng	CS	nonsw
A1084	BE_13	Block4	Stim21	CSES	1	CS	1405	Eng	CS	nonsw
