Subject	Context	Response	Number	Lg_Heard	Main_Context	Group
BE_03	CS-ES	CS	16	Eng	CS	nonsw
BE_04	CS-ES	CS	0	Eng	CS	nonsw
BE_05	CS-ES	CS	1	Eng	CS	nonsw
BE_08	CS-ES	CS	6	Eng	CS	nonsw
BE_10	CS-ES	CS	1	Eng	CS	nonsw
BE_12	CS-ES	CS	2	Eng	CS	nonsw
BE_13	CS-ES	CS	10	Eng	CS	nonsw
BE_14	CS-ES	CS	2	Eng	CS	nonsw
BE_15	CS-ES	CS	2	Eng	CS	nonsw
BE_16	CS-ES	CS	6	Eng	CS	nonsw
BE_17	CS-ES	CS	2	Eng	CS	nonsw
BE_21	CS-ES	CS	1	Eng	CS	nonsw
BE_22	CS-ES	CS	0	Eng	CS	nonsw
BE_23	CS-ES	CS	1	Eng	CS	nonsw
BE_24	CS-ES	CS	0	Eng	CS	nonsw
BE_25	CS-ES	CS	1	Eng	CS	nonsw
BE_26	CS-ES	CS	6	Eng	CS	nonsw
BE_27	CS-ES	CS	0	Eng	CS	nonsw
BE_28	CS-ES	CS	0	Eng	CS	nonsw
BE_29	CS-ES	CS	11	Eng	CS	nonsw
BE_30	CS-ES	CS	1	Eng	CS	nonsw
BE_31	CS-ES	CS	8	Eng	CS	nonsw
BE_32	CS-ES	CS	1	Eng	CS	nonsw
BE_35	CS-ES	CS	3	Eng	CS	nonsw
BE_37	CS-ES	CS	2	Eng	CS	nonsw
BE_38	CS-ES	CS	0	Eng	CS	nonsw
BE_41	CS-ES	CS	1	Eng	CS	nonsw
BE_43	CS-ES	CS	2	Eng	CS	nonsw
BE_44	CS-ES	CS	6	Eng	CS	nonsw
BE_45	CS-ES	CS	1	Eng	CS	nonsw
BE_46	CS-ES	CS	5	Eng	CS	nonsw
BE_48	CS-ES	CS	0	Eng	CS	nonsw
BE_49	CS-ES	CS	9	Eng	CS	nonsw
BE_52	CS-ES	CS	11	Eng	CS	nonsw
BE_54	CS-ES	CS	0	Eng	CS	nonsw
BE_55	CS-ES	CS	6	Eng	CS	nonsw
BE_56	CS-ES	CS	3	Eng	CS	nonsw
BE_57	CS-ES	CS	0	Eng	CS	nonsw
BE_58	CS-ES	CS	11	Eng	CS	nonsw
BE_60	CS-ES	CS	0	Eng	CS	nonsw
BE_64	CS-ES	CS	0	Eng	CS	nonsw
BE_65	CS-ES	CS	0	Eng	CS	nonsw
BE_66	CS-ES	CS	8	Eng	CS	nonsw
BE_67	CS-ES	CS	2	Eng	CS	nonsw
BE_69	CS-ES	CS	5	Eng	CS	nonsw
BE_70	CS-ES	CS	3	Eng	CS	nonsw
BE_71	CS-ES	CS	0	Eng	CS	nonsw
BE_72	CS-ES	CS	5	Eng	CS	nonsw
BE_74	CS-ES	CS	14	Eng	CS	nonsw
BE_75	CS-ES	CS	8	Eng	CS	nonsw
BE_76	CS-ES	CS	0	Eng	CS	nonsw
BE_77	CS-ES	CS	1	Eng	CS	nonsw
BE_80	CS-ES	CS	7	Eng	CS	nonsw
BE_82	CS-ES	CS	11	Eng	CS	nonsw
BE_84	CS-ES	CS	9	Eng	CS	nonsw
BE_03	CS-ES	ML	24	Eng	CS	nonsw
BE_04	CS-ES	ML	40	Eng	CS	nonsw
BE_05	CS-ES	ML	39	Eng	CS	nonsw
BE_08	CS-ES	ML	34	Eng	CS	nonsw
BE_10	CS-ES	ML	39	Eng	CS	nonsw
BE_12	CS-ES	ML	38	Eng	CS	nonsw
BE_13	CS-ES	ML	30	Eng	CS	nonsw
BE_14	CS-ES	ML	38	Eng	CS	nonsw
BE_15	CS-ES	ML	38	Eng	CS	nonsw
BE_16	CS-ES	ML	34	Eng	CS	nonsw
BE_17	CS-ES	ML	38	Eng	CS	nonsw
BE_21	CS-ES	ML	39	Eng	CS	nonsw
BE_22	CS-ES	ML	40	Eng	CS	nonsw
BE_23	CS-ES	ML	39	Eng	CS	nonsw
BE_24	CS-ES	ML	40	Eng	CS	nonsw
BE_25	CS-ES	ML	39	Eng	CS	nonsw
BE_26	CS-ES	ML	34	Eng	CS	nonsw
BE_27	CS-ES	ML	40	Eng	CS	nonsw
BE_28	CS-ES	ML	40	Eng	CS	nonsw
BE_29	CS-ES	ML	29	Eng	CS	nonsw
BE_30	CS-ES	ML	39	Eng	CS	nonsw
BE_31	CS-ES	ML	32	Eng	CS	nonsw
BE_32	CS-ES	ML	39	Eng	CS	nonsw
BE_35	CS-ES	ML	37	Eng	CS	nonsw
BE_37	CS-ES	ML	38	Eng	CS	nonsw
BE_38	CS-ES	ML	40	Eng	CS	nonsw
BE_41	CS-ES	ML	39	Eng	CS	nonsw
BE_43	CS-ES	ML	38	Eng	CS	nonsw
BE_44	CS-ES	ML	34	Eng	CS	nonsw
BE_45	CS-ES	ML	39	Eng	CS	nonsw
BE_46	CS-ES	ML	35	Eng	CS	nonsw
BE_48	CS-ES	ML	40	Eng	CS	nonsw
BE_49	CS-ES	ML	31	Eng	CS	nonsw
BE_52	CS-ES	ML	29	Eng	CS	nonsw
BE_54	CS-ES	ML	40	Eng	CS	nonsw
BE_55	CS-ES	ML	34	Eng	CS	nonsw
BE_56	CS-ES	ML	37	Eng	CS	nonsw
BE_57	CS-ES	ML	40	Eng	CS	nonsw
BE_58	CS-ES	ML	29	Eng	CS	nonsw
BE_60	CS-ES	ML	40	Eng	CS	nonsw
BE_64	CS-ES	ML	40	Eng	CS	nonsw
BE_65	CS-ES	ML	40	Eng	CS	nonsw
BE_66	CS-ES	ML	32	Eng	CS	nonsw
BE_67	CS-ES	ML	38	Eng	CS	nonsw
BE_69	CS-ES	ML	35	Eng	CS	nonsw
BE_70	CS-ES	ML	37	Eng	CS	nonsw
BE_71	CS-ES	ML	40	Eng	CS	nonsw
BE_72	CS-ES	ML	35	Eng	CS	nonsw
BE_74	CS-ES	ML	26	Eng	CS	nonsw
BE_75	CS-ES	ML	32	Eng	CS	nonsw
BE_76	CS-ES	ML	40	Eng	CS	nonsw
BE_77	CS-ES	ML	39	Eng	CS	nonsw
BE_80	CS-ES	ML	33	Eng	CS	nonsw
BE_82	CS-ES	ML	29	Eng	CS	nonsw
BE_84	CS-ES	ML	31	Eng	CS	nonsw
BE_06	CS-ES	CS	21	Eng	CS	supsw
BE_07	CS-ES	CS	32	Eng	CS	supsw
BE_09	CS-ES	CS	19	Eng	CS	supsw
BE_19	CS-ES	CS	15	Eng	CS	supsw
BE_20	CS-ES	CS	19	Eng	CS	supsw
BE_33	CS-ES	CS	11	Eng	CS	supsw
BE_34	CS-ES	CS	23	Eng	CS	supsw
BE_42	CS-ES	CS	18	Eng	CS	supsw
BE_50	CS-ES	CS	16	Eng	CS	supsw
BE_51	CS-ES	CS	14	Eng	CS	supsw
BE_53	CS-ES	CS	15	Eng	CS	supsw
BE_63	CS-ES	CS	25	Eng	CS	supsw
BE_68	CS-ES	CS	24	Eng	CS	supsw
BE_06	CS-ES	ML	19	Eng	CS	supsw
BE_07	CS-ES	ML	8	Eng	CS	supsw
BE_09	CS-ES	ML	21	Eng	CS	supsw
BE_19	CS-ES	ML	25	Eng	CS	supsw
BE_20	CS-ES	ML	21	Eng	CS	supsw
BE_33	CS-ES	ML	29	Eng	CS	supsw
BE_34	CS-ES	ML	17	Eng	CS	supsw
BE_42	CS-ES	ML	22	Eng	CS	supsw
BE_50	CS-ES	ML	24	Eng	CS	supsw
BE_51	CS-ES	ML	26	Eng	CS	supsw
BE_53	CS-ES	ML	25	Eng	CS	supsw
BE_63	CS-ES	ML	15	Eng	CS	supsw
BE_68	CS-ES	ML	16	Eng	CS	supsw
BE_81	CS-ES	CS	24	Eng	CS	supsw
BE_81	CS-ES	ML	16	Eng	CS	supsw
BE_83	CS-ES	CS	15	Eng	CS	supsw
BE_83	CS-ES	ML	25	Eng	CS	supsw
BE_85	CS-ES	CS	21	Eng	CS	supsw
BE_85	CS-ES	ML	19	Eng	CS	supsw
BE_86	CS-ES	CS	20	Eng	CS	supsw
BE_86	CS-ES	ML	20	Eng	CS	supsw
BE_87	CS-ES	CS	15	Eng	CS	supsw
BE_87	CS-ES	ML	25	Eng	CS	supsw
BE_11	CS-ES	CS	12	Eng	CS	sw
BE_18	CS-ES	CS	20	Eng	CS	sw
BE_36	CS-ES	CS	18	Eng	CS	sw
BE_39	CS-ES	CS	10	Eng	CS	sw
BE_40	CS-ES	CS	18	Eng	CS	sw
BE_47	CS-ES	CS	11	Eng	CS	sw
BE_59	CS-ES	CS	10	Eng	CS	sw
BE_61	CS-ES	CS	9	Eng	CS	sw
BE_62	CS-ES	CS	11	Eng	CS	sw
BE_73	CS-ES	CS	9	Eng	CS	sw
BE_78	CS-ES	CS	18	Eng	CS	sw
BE_79	CS-ES	CS	14	Eng	CS	sw
BE_11	CS-ES	ML	28	Eng	CS	sw
BE_18	CS-ES	ML	20	Eng	CS	sw
BE_36	CS-ES	ML	22	Eng	CS	sw
BE_39	CS-ES	ML	30	Eng	CS	sw
BE_40	CS-ES	ML	22	Eng	CS	sw
BE_47	CS-ES	ML	29	Eng	CS	sw
BE_59	CS-ES	ML	30	Eng	CS	sw
BE_61	CS-ES	ML	31	Eng	CS	sw
BE_62	CS-ES	ML	29	Eng	CS	sw
BE_73	CS-ES	ML	31	Eng	CS	sw
BE_78	CS-ES	ML	22	Eng	CS	sw
BE_79	CS-ES	ML	26	Eng	CS	sw
BE_03	CS-SE	CS	4	Sp	CS	nonsw
BE_04	CS-SE	CS	2	Sp	CS	nonsw
BE_05	CS-SE	CS	3	Sp	CS	nonsw
BE_08	CS-SE	CS	5	Sp	CS	nonsw
BE_10	CS-SE	CS	6	Sp	CS	nonsw
BE_12	CS-SE	CS	10	Sp	CS	nonsw
BE_13	CS-SE	CS	7	Sp	CS	nonsw
BE_14	CS-SE	CS	12	Sp	CS	nonsw
BE_15	CS-SE	CS	4	Sp	CS	nonsw
BE_16	CS-SE	CS	5	Sp	CS	nonsw
BE_17	CS-SE	CS	7	Sp	CS	nonsw
BE_21	CS-SE	CS	2	Sp	CS	nonsw
BE_22	CS-SE	CS	0	Sp	CS	nonsw
BE_23	CS-SE	CS	1	Sp	CS	nonsw
BE_24	CS-SE	CS	1	Sp	CS	nonsw
BE_25	CS-SE	CS	4	Sp	CS	nonsw
BE_26	CS-SE	CS	10	Sp	CS	nonsw
BE_27	CS-SE	CS	4	Sp	CS	nonsw
BE_28	CS-SE	CS	16	Sp	CS	nonsw
BE_29	CS-SE	CS	8	Sp	CS	nonsw
BE_30	CS-SE	CS	3	Sp	CS	nonsw
BE_31	CS-SE	CS	2	Sp	CS	nonsw
BE_32	CS-SE	CS	1	Sp	CS	nonsw
BE_35	CS-SE	CS	10	Sp	CS	nonsw
BE_37	CS-SE	CS	2	Sp	CS	nonsw
BE_38	CS-SE	CS	4	Sp	CS	nonsw
BE_41	CS-SE	CS	4	Sp	CS	nonsw
BE_43	CS-SE	CS	2	Sp	CS	nonsw
BE_44	CS-SE	CS	14	Sp	CS	nonsw
BE_45	CS-SE	CS	9	Sp	CS	nonsw
