Subject	Context	Response	Number	Lg_Heard	Main_Context
BE_03	CS-ES	CS	16	Eng	CS
BE_04	CS-ES	CS	0	Eng	CS
BE_05	CS-ES	CS	1	Eng	CS
BE_08	CS-ES	CS	6	Eng	CS
BE_10	CS-ES	CS	1	Eng	CS
BE_12	CS-ES	CS	2	Eng	CS
BE_13	CS-ES	CS	10	Eng	CS
BE_14	CS-ES	CS	2	Eng	CS
BE_15	CS-ES	CS	2	Eng	CS
BE_16	CS-ES	CS	6	Eng	CS
BE_17	CS-ES	CS	2	Eng	CS
BE_21	CS-ES	CS	1	Eng	CS
BE_22	CS-ES	CS	0	Eng	CS
BE_23	CS-ES	CS	1	Eng	CS
BE_24	CS-ES	CS	0	Eng	CS
BE_25	CS-ES	CS	1	Eng	CS
BE_26	CS-ES	CS	6	Eng	CS
BE_27	CS-ES	CS	0	Eng	CS
BE_28	CS-ES	CS	0	Eng	CS
BE_29	CS-ES	CS	11	Eng	CS
BE_30	CS-ES	CS	1	Eng	CS
BE_31	CS-ES	CS	8	Eng	CS
BE_32	CS-ES	CS	1	Eng	CS
BE_35	CS-ES	CS	3	Eng	CS
BE_37	CS-ES	CS	2	Eng	CS
BE_38	CS-ES	CS	0	Eng	CS
BE_41	CS-ES	CS	1	Eng	CS
BE_43	CS-ES	CS	2	Eng	CS
BE_44	CS-ES	CS	6	Eng	CS
BE_45	CS-ES	CS	1	Eng	CS
BE_46	CS-ES	CS	5	Eng	CS
BE_48	CS-ES	CS	0	Eng	CS
BE_49	CS-ES	CS	9	Eng	CS
BE_52	CS-ES	CS	11	Eng	CS
BE_54	CS-ES	CS	0	Eng	CS
BE_55	CS-ES	CS	6	Eng	CS
BE_56	CS-ES	CS	3	Eng	CS
BE_57	CS-ES	CS	0	Eng	CS
BE_58	CS-ES	CS	11	Eng	CS
BE_60	CS-ES	CS	0	Eng	CS
BE_64	CS-ES	CS	0	Eng	CS
BE_65	CS-ES	CS	0	Eng	CS
BE_66	CS-ES	CS	8	Eng	CS
BE_67	CS-ES	CS	2	Eng	CS
BE_69	CS-ES	CS	5	Eng	CS
BE_70	CS-ES	CS	3	Eng	CS
BE_71	CS-ES	CS	0	Eng	CS
BE_72	CS-ES	CS	5	Eng	CS
BE_74	CS-ES	CS	14	Eng	CS
BE_75	CS-ES	CS	8	Eng	CS
BE_76	CS-ES	CS	0	Eng	CS
BE_77	CS-ES	CS	1	Eng	CS
BE_80	CS-ES	CS	7	Eng	CS
BE_82	CS-ES	CS	11	Eng	CS
BE_84	CS-ES	CS	9	Eng	CS
BE_03	CS-ES	ML	24	Eng	CS
BE_04	CS-ES	ML	40	Eng	CS
BE_05	CS-ES	ML	39	Eng	CS
BE_08	CS-ES	ML	34	Eng	CS
BE_10	CS-ES	ML	39	Eng	CS
BE_12	CS-ES	ML	38	Eng	CS
BE_13	CS-ES	ML	30	Eng	CS
BE_14	CS-ES	ML	38	Eng	CS
BE_15	CS-ES	ML	38	Eng	CS
BE_16	CS-ES	ML	34	Eng	CS
BE_17	CS-ES	ML	38	Eng	CS
BE_21	CS-ES	ML	39	Eng	CS
BE_22	CS-ES	ML	40	Eng	CS
BE_23	CS-ES	ML	39	Eng	CS
BE_24	CS-ES	ML	40	Eng	CS
BE_25	CS-ES	ML	39	Eng	CS
BE_26	CS-ES	ML	34	Eng	CS
BE_27	CS-ES	ML	40	Eng	CS
BE_28	CS-ES	ML	40	Eng	CS
BE_29	CS-ES	ML	29	Eng	CS
BE_30	CS-ES	ML	39	Eng	CS
BE_31	CS-ES	ML	32	Eng	CS
BE_32	CS-ES	ML	39	Eng	CS
BE_35	CS-ES	ML	37	Eng	CS
BE_37	CS-ES	ML	38	Eng	CS
BE_38	CS-ES	ML	40	Eng	CS
BE_41	CS-ES	ML	39	Eng	CS
BE_43	CS-ES	ML	38	Eng	CS
BE_44	CS-ES	ML	34	Eng	CS
BE_45	CS-ES	ML	39	Eng	CS
BE_46	CS-ES	ML	35	Eng	CS
BE_48	CS-ES	ML	40	Eng	CS
BE_49	CS-ES	ML	31	Eng	CS
BE_52	CS-ES	ML	29	Eng	CS
BE_54	CS-ES	ML	40	Eng	CS
BE_55	CS-ES	ML	34	Eng	CS
BE_56	CS-ES	ML	37	Eng	CS
BE_57	CS-ES	ML	40	Eng	CS
BE_58	CS-ES	ML	29	Eng	CS
BE_60	CS-ES	ML	40	Eng	CS
BE_64	CS-ES	ML	40	Eng	CS
BE_65	CS-ES	ML	40	Eng	CS
BE_66	CS-ES	ML	32	Eng	CS
BE_67	CS-ES	ML	38	Eng	CS
BE_69	CS-ES	ML	35	Eng	CS
BE_70	CS-ES	ML	37	Eng	CS
BE_71	CS-ES	ML	40	Eng	CS
BE_72	CS-ES	ML	35	Eng	CS
BE_74	CS-ES	ML	26	Eng	CS
BE_75	CS-ES	ML	32	Eng	CS
BE_76	CS-ES	ML	40	Eng	CS
BE_77	CS-ES	ML	39	Eng	CS
BE_80	CS-ES	ML	33	Eng	CS
BE_82	CS-ES	ML	29	Eng	CS
BE_84	CS-ES	ML	31	Eng	CS
BE_03	CS-SE	CS	4	Sp	CS
BE_04	CS-SE	CS	2	Sp	CS
BE_05	CS-SE	CS	3	Sp	CS
BE_08	CS-SE	CS	5	Sp	CS
BE_10	CS-SE	CS	6	Sp	CS
BE_12	CS-SE	CS	10	Sp	CS
BE_13	CS-SE	CS	7	Sp	CS
BE_14	CS-SE	CS	12	Sp	CS
BE_15	CS-SE	CS	4	Sp	CS
BE_16	CS-SE	CS	5	Sp	CS
BE_17	CS-SE	CS	7	Sp	CS
BE_21	CS-SE	CS	2	Sp	CS
BE_22	CS-SE	CS	0	Sp	CS
BE_23	CS-SE	CS	1	Sp	CS
BE_24	CS-SE	CS	1	Sp	CS
BE_25	CS-SE	CS	4	Sp	CS
BE_26	CS-SE	CS	10	Sp	CS
BE_27	CS-SE	CS	4	Sp	CS
BE_28	CS-SE	CS	16	Sp	CS
BE_29	CS-SE	CS	8	Sp	CS
BE_30	CS-SE	CS	3	Sp	CS
BE_31	CS-SE	CS	2	Sp	CS
BE_32	CS-SE	CS	1	Sp	CS
BE_35	CS-SE	CS	10	Sp	CS
BE_37	CS-SE	CS	2	Sp	CS
BE_38	CS-SE	CS	4	Sp	CS
BE_41	CS-SE	CS	4	Sp	CS
BE_43	CS-SE	CS	2	Sp	CS
BE_44	CS-SE	CS	14	Sp	CS
BE_45	CS-SE	CS	9	Sp	CS
BE_46	CS-SE	CS	9	Sp	CS
BE_48	CS-SE	CS	7	Sp	CS
BE_49	CS-SE	CS	12	Sp	CS
BE_52	CS-SE	CS	13	Sp	CS
BE_54	CS-SE	CS	2	Sp	CS
BE_55	CS-SE	CS	7	Sp	CS
BE_56	CS-SE	CS	4	Sp	CS
BE_57	CS-SE	CS	3	Sp	CS
BE_58	CS-SE	CS	10	Sp	CS
BE_60	CS-SE	CS	4	Sp	CS
BE_64	CS-SE	CS	4	Sp	CS
BE_65	CS-SE	CS	16	Sp	CS
BE_66	CS-SE	CS	2	Sp	CS
BE_67	CS-SE	CS	1	Sp	CS
BE_69	CS-SE	CS	2	Sp	CS
BE_70	CS-SE	CS	3	Sp	CS
BE_71	CS-SE	CS	2	Sp	CS
BE_72	CS-SE	CS	3	Sp	CS
BE_74	CS-SE	CS	3	Sp	CS
BE_75	CS-SE	CS	7	Sp	CS
BE_76	CS-SE	CS	3	Sp	CS
BE_77	CS-SE	CS	1	Sp	CS
BE_80	CS-SE	CS	1	Sp	CS
BE_82	CS-SE	CS	11	Sp	CS
BE_84	CS-SE	CS	12	Sp	CS
BE_03	CS-SE	ML	36	Sp	CS
BE_04	CS-SE	ML	38	Sp	CS
BE_05	CS-SE	ML	37	Sp	CS
BE_08	CS-SE	ML	35	Sp	CS
BE_10	CS-SE	ML	34	Sp	CS
BE_12	CS-SE	ML	30	Sp	CS
BE_13	CS-SE	ML	33	Sp	CS
BE_14	CS-SE	ML	28	Sp	CS
BE_15	CS-SE	ML	36	Sp	CS
BE_16	CS-SE	ML	35	Sp	CS
BE_17	CS-SE	ML	33	Sp	CS
BE_21	CS-SE	ML	38	Sp	CS
BE_22	CS-SE	ML	40	Sp	CS
BE_23	CS-SE	ML	39	Sp	CS
BE_24	CS-SE	ML	39	Sp	CS
BE_25	CS-SE	ML	36	Sp	CS
BE_26	CS-SE	ML	30	Sp	CS
BE_27	CS-SE	ML	36	Sp	CS
BE_28	CS-SE	ML	24	Sp	CS
BE_29	CS-SE	ML	32	Sp	CS
BE_30	CS-SE	ML	37	Sp	CS
BE_31	CS-SE	ML	38	Sp	CS
BE_32	CS-SE	ML	39	Sp	CS
BE_35	CS-SE	ML	30	Sp	CS
BE_37	CS-SE	ML	38	Sp	CS
BE_38	CS-SE	ML	36	Sp	CS
BE_41	CS-SE	ML	36	Sp	CS
BE_43	CS-SE	ML	38	Sp	CS
BE_44	CS-SE	ML	26	Sp	CS
BE_45	CS-SE	ML	31	Sp	CS
BE_46	CS-SE	ML	31	Sp	CS
BE_48	CS-SE	ML	33	Sp	CS
BE_49	CS-SE	ML	28	Sp	CS
BE_52	CS-SE	ML	27	Sp	CS
BE_54	CS-SE	ML	38	Sp	CS
BE_55	CS-SE	ML	33	Sp	CS
BE_56	CS-SE	ML	36	Sp	CS
BE_57	CS-SE	ML	37	Sp	CS
BE_58	CS-SE	ML	30	Sp	CS
BE_60	CS-SE	ML	36	Sp	CS
BE_64	CS-SE	ML	36	Sp	CS
BE_65	CS-SE	ML	24	Sp	CS
BE_66	CS-SE	ML	38	Sp	CS
BE_67	CS-SE	ML	39	Sp	CS
BE_69	CS-SE	ML	38	Sp	CS
BE_70	CS-SE	ML	37	Sp	CS
BE_71	CS-SE	ML	38	Sp	CS
BE_72	CS-SE	ML	37	Sp	CS
BE_74	CS-SE	ML	37	Sp	CS
BE_75	CS-SE	ML	33	Sp	CS
BE_76	CS-SE	ML	37	Sp	CS
BE_77	CS-SE	ML	39	Sp	CS
BE_80	CS-SE	ML	39	Sp	CS
BE_82	CS-SE	ML	29	Sp	CS
BE_84	CS-SE	ML	28	Sp	CS
BE_03	E	CS	7	Eng	ML
BE_04	E	CS	1	Eng	ML
BE_05	E	CS	1	Eng	ML
BE_08	E	CS	3	Eng	ML
BE_10	E	CS	0	Eng	ML
BE_12	E	CS	0	Eng	ML
BE_13	E	CS	3	Eng	ML
BE_14	E	CS	1	Eng	ML
BE_15	E	CS	3	Eng	ML
BE_16	E	CS	7	Eng	ML
BE_17	E	CS	4	Eng	ML
BE_21	E	CS	0	Eng	ML
BE_22	E	CS	0	Eng	ML
BE_23	E	CS	0	Eng	ML
BE_24	E	CS	0	Eng	ML
BE_25	E	CS	3	Eng	ML
BE_26	E	CS	2	Eng	ML
BE_27	E	CS	1	Eng	ML
BE_28	E	CS	2	Eng	ML
BE_29	E	CS	8	Eng	ML
BE_30	E	CS	3	Eng	ML
BE_31	E	CS	1	Eng	ML
BE_32	E	CS	0	Eng	ML
BE_35	E	CS	3	Eng	ML
BE_37	E	CS	2	Eng	ML
BE_38	E	CS	0	Eng	ML
BE_41	E	CS	1	Eng	ML
BE_43	E	CS	4	Eng	ML
BE_44	E	CS	3	Eng	ML
BE_45	E	CS	5	Eng	ML
BE_46	E	CS	1	Eng	ML
BE_48	E	CS	4	Eng	ML
