Item	Subject	Block	Stimuli	Context	Response	Key	Correct	Error	RT	Lg_Heard	Main_Context
A3	BE_03	Block1	Stim02	CSES	Spanish	m	Spanish	CS	1198	Eng	CS
A5	BE_03	Block1	Stim26	CSES	Spanish	m	Spanish	CS	1670	Eng	CS
A6	BE_03	Block1	Stim27	CSES	Spanish	m	Spanish	CS	2735	Eng	CS
A8	BE_03	Block1	Stim29	CSES	Spanish	m	Spanish	CS	3657	Eng	CS
A9	BE_03	Block1	Stim03	CSES	Spanish	m	Spanish	CS	1850	Eng	CS
A10	BE_03	Block1	Stim32	CSES	Spanish	m	Spanish	CS	1697	Eng	CS
A46	BE_03	Block2	Stim27	CSES	Spanish	m	Spanish	CS	1858	Eng	CS
A47	BE_03	Block2	Stim28	CSES	Spanish	m	Spanish	CS	1442	Eng	CS
A48	BE_03	Block2	Stim29	CSES	Spanish	m	Spanish	CS	990	Eng	CS
A50	BE_03	Block2	Stim32	CSES	Spanish	m	Spanish	CS	3715	Eng	CS
A86	BE_03	Block3	Stim27	CSES	Spanish	m	Spanish	CS	1624	Eng	CS
A87	BE_03	Block3	Stim28	CSES	Spanish	m	Spanish	CS	808	Eng	CS
A88	BE_03	Block3	Stim29	CSES	Spanish	m	Spanish	CS	1152	Eng	CS
A126	BE_03	Block4	Stim27	CSES	Spanish	m	Spanish	CS	368	Eng	CS
A128	BE_03	Block4	Stim29	CSES	Spanish	m	Spanish	CS	523	Eng	CS
A130	BE_03	Block4	Stim32	CSES	Spanish	m	Spanish	CS	1350	Eng	CS
A367	BE_05	Block2	Stim28	CSES	Spanish	m	Spanish	CS	2951	Eng	CS
A487	BE_08	Block1	Stim28	CSES	Spanish	m	Spanish	CS	889	Eng	CS
A488	BE_08	Block1	Stim29	CSES	Spanish	m	Spanish	CS	516	Eng	CS
A525	BE_08	Block2	Stim26	CSES	Spanish	m	Spanish	CS	819	Eng	CS
A526	BE_08	Block2	Stim27	CSES	Spanish	m	Spanish	CS	1108	Eng	CS
A530	BE_08	Block2	Stim32	CSES	Spanish	m	Spanish	CS	817	Eng	CS
A609	BE_08	Block4	Stim03	CSES	Spanish	m	Spanish	CS	575	Eng	CS
A649	BE_10	Block1	Stim03	CSES	Spanish	m	Spanish	CS	3746	Eng	CS
A842	BE_12	Block2	Stim17	CSES	Spanish	m	Spanish	CS	7123	Eng	CS
A930	BE_12	Block4	Stim32	CSES	Spanish	m	Spanish	CS	5246	Eng	CS
A965	BE_13	Block1	Stim26	CSES	Spanish	m	Spanish	CS	3610	Eng	CS
A967	BE_13	Block1	Stim28	CSES	Spanish	m	Spanish	CS	3369	Eng	CS
A970	BE_13	Block1	Stim32	CSES	Spanish	m	Spanish	CS	2045	Eng	CS
A1005	BE_13	Block2	Stim26	CSES	Spanish	m	Spanish	CS	1897	Eng	CS
A1007	BE_13	Block2	Stim28	CSES	Spanish	m	Spanish	CS	1243	Eng	CS
A1082	BE_13	Block4	Stim17	CSES	Spanish	m	Spanish	CS	767	Eng	CS
A1084	BE_13	Block4	Stim21	CSES	Spanish	m	Spanish	CS	1405	Eng	CS
A1085	BE_13	Block4	Stim26	CSES	Spanish	m	Spanish	CS	565	Eng	CS
A1086	BE_13	Block4	Stim27	CSES	Spanish	m	Spanish	CS	498	Eng	CS
A1090	BE_13	Block4	Stim32	CSES	Spanish	m	Spanish	CS	705	Eng	CS
A1130	BE_14	Block1	Stim32	CSES	Spanish	m	Spanish	CS	918	Eng	CS
A1167	BE_14	Block2	Stim28	CSES	Spanish	m	Spanish	CS	1313	Eng	CS
A1286	BE_15	Block1	Stim27	CSES	Spanish	m	Spanish	CS	2137	Eng	CS
A1364	BE_15	Block3	Stim21	CSES	Spanish	m	Spanish	CS	750	Eng	CS
A1443	BE_16	Block1	Stim02	CSES	Spanish	m	Spanish	CS	1272	Eng	CS
A1449	BE_16	Block1	Stim03	CSES	Spanish	m	Spanish	CS	2057	Eng	CS
A1483	BE_16	Block2	Stim02	CSES	Spanish	m	Spanish	CS	238	Eng	CS
A1562	BE_16	Block4	Stim17	CSES	Spanish	m	Spanish	CS	204	Eng	CS
A1565	BE_16	Block4	Stim26	CSES	Spanish	m	Spanish	CS	544	Eng	CS
A1569	BE_16	Block4	Stim03	CSES	Spanish	m	Spanish	CS	20	Eng	CS
A1608	BE_17	Block1	Stim29	CSES	Spanish	m	Spanish	CS	4034	Eng	CS
A1610	BE_17	Block1	Stim32	CSES	Spanish	m	Spanish	CS	2999	Eng	CS
A1764	BE_21	Block1	Stim21	CSES	Spanish	m	Spanish	CS	977	Eng	CS
A2126	BE_23	Block2	Stim27	CSES	Spanish	m	Spanish	CS	2279	Eng	CS
A2402	BE_25	Block1	Stim17	CSES	Spanish	m	Spanish	CS	677	Eng	CS
A2569	BE_26	Block1	Stim03	CSES	Spanish	m	Spanish	CS	1535	Eng	CS
A2603	BE_26	Block2	Stim02	CSES	Spanish	m	Spanish	CS	2710	Eng	CS
A2606	BE_26	Block2	Stim27	CSES	Spanish	m	Spanish	CS	6131	Eng	CS
A2609	BE_26	Block2	Stim03	CSES	Spanish	m	Spanish	CS	329	Eng	CS
A2684	BE_26	Block4	Stim21	CSES	Spanish	m	Spanish	CS	815	Eng	CS
A2689	BE_26	Block4	Stim03	CSES	Spanish	m	Spanish	CS	444	Eng	CS
A3042	BE_29	Block1	Stim17	CSES	Spanish	m	Spanish	CS	2519	Eng	CS
A3045	BE_29	Block1	Stim26	CSES	Spanish	m	Spanish	CS	6231	Eng	CS
A3048	BE_29	Block1	Stim29	CSES	Spanish	m	Spanish	CS	2733	Eng	CS
A3049	BE_29	Block1	Stim03	CSES	Spanish	m	Spanish	CS	1631	Eng	CS
