Item	Subject	Block	Stimuli	Context	Correct	Response	RT	Lg_Heard	Main_Context
A162	BE_07	Block1	Stim26	CSES	1	CS	3410	Eng	CS
A163	BE_07	Block1	Stim27	CSES	1	CS	1431	Eng	CS
A164	BE_07	Block1	Stim29	CSES	1	CS	665	Eng	CS
A1641	BE_53	Block2	Stim26	CSES	1	CS	1228	Eng	CS
A1642	BE_53	Block2	Stim27	CSES	1	CS	1384	Eng	CS
A1643	BE_53	Block2	Stim28	CSES	1	CS	1640	Eng	CS
A1644	BE_53	Block2	Stim01	CSES	0	ML	737	Eng	CS
A1645	BE_53	Block2	Stim17	CSES	0	ML	1468	Eng	CS
A1646	BE_53	Block2	Stim02	CSES	0	ML	499	Eng	CS
A1647	BE_53	Block2	Stim21	CSES	0	ML	617	Eng	CS
A1648	BE_53	Block2	Stim29	CSES	0	ML	2483	Eng	CS
A1649	BE_53	Block2	Stim03	CSES	0	ML	1583	Eng	CS
A165	BE_07	Block1	Stim32	CSES	1	CS	3070	Eng	CS
A1650	BE_53	Block2	Stim32	CSES	0	ML	2810	Eng	CS
A166	BE_07	Block1	Stim01	CSES	0	ML	1814	Eng	CS
A167	BE_07	Block1	Stim02	CSES	0	ML	1667	Eng	CS
A168	BE_07	Block1	Stim21	CSES	0	ML	1456	Eng	CS
A1681	BE_53	Block3	Stim17	CSES	1	CS	691	Eng	CS
A1682	BE_53	Block3	Stim02	CSES	1	CS	1051	Eng	CS
A1683	BE_53	Block3	Stim27	CSES	1	CS	2363	Eng	CS
A1684	BE_53	Block3	Stim28	CSES	1	CS	1525	Eng	CS
A1685	BE_53	Block3	Stim29	CSES	1	CS	2574	Eng	CS
A1686	BE_53	Block3	Stim01	CSES	0	ML	514	Eng	CS
A1687	BE_53	Block3	Stim21	CSES	0	ML	560	Eng	CS
A1688	BE_53	Block3	Stim26	CSES	0	ML	1197	Eng	CS
A1689	BE_53	Block3	Stim03	CSES	0	ML	517	Eng	CS
A169	BE_07	Block1	Stim28	CSES	0	ML	2667	Eng	CS
A1690	BE_53	Block3	Stim32	CSES	0	ML	519	Eng	CS
A170	BE_07	Block1	Stim03	CSES	0	ML	735	Eng	CS
A1721	BE_53	Block4	Stim02	CSES	1	CS	604	Eng	CS
A1722	BE_53	Block4	Stim26	CSES	1	CS	511	Eng	CS
A1723	BE_53	Block4	Stim27	CSES	1	CS	472	Eng	CS
A1724	BE_53	Block4	Stim29	CSES	1	CS	1135	Eng	CS
A1725	BE_53	Block4	Stim01	CSES	0	ML	878	Eng	CS
A1726	BE_53	Block4	Stim17	CSES	0	ML	1193	Eng	CS
A1727	BE_53	Block4	Stim21	CSES	0	ML	1893	Eng	CS
A1728	BE_53	Block4	Stim28	CSES	0	ML	449	Eng	CS
A1729	BE_53	Block4	Stim03	CSES	0	ML	445	Eng	CS
A1730	BE_53	Block4	Stim32	CSES	0	ML	1152	Eng	CS
A1761	BE_63	Block1	Stim01	CSES	1	CS	3545	Eng	CS
A1762	BE_63	Block1	Stim26	CSES	1	CS	2178	Eng	CS
A1763	BE_63	Block1	Stim28	CSES	1	CS	713	Eng	CS
A1764	BE_63	Block1	Stim29	CSES	1	CS	1594	Eng	CS
A1765	BE_63	Block1	Stim03	CSES	1	CS	1393	Eng	CS
A1766	BE_63	Block1	Stim17	CSES	0	ML	3083	Eng	CS
A1767	BE_63	Block1	Stim02	CSES	0	ML	772	Eng	CS
A1768	BE_63	Block1	Stim21	CSES	0	ML	1417	Eng	CS
A1769	BE_63	Block1	Stim27	CSES	0	ML	1400	Eng	CS
A1770	BE_63	Block1	Stim32	CSES	0	ML	1433	Eng	CS
A1801	BE_63	Block2	Stim01	CSES	1	CS	438	Eng	CS
A1802	BE_63	Block2	Stim27	CSES	1	CS	608	Eng	CS
A1803	BE_63	Block2	Stim28	CSES	1	CS	1559	Eng	CS
A1804	BE_63	Block2	Stim29	CSES	1	CS	613	Eng	CS
A1805	BE_63	Block2	Stim03	CSES	1	CS	391	Eng	CS
A1806	BE_63	Block2	Stim32	CSES	1	CS	4247	Eng	CS
A1807	BE_63	Block2	Stim17	CSES	0	ML	3004	Eng	CS
A1808	BE_63	Block2	Stim02	CSES	0	ML	812	Eng	CS
A1809	BE_63	Block2	Stim21	CSES	0	ML	3624	Eng	CS
A1810	BE_63	Block2	Stim26	CSES	0	ML	1319	Eng	CS
A1841	BE_63	Block3	Stim01	CSES	1	CS	1682	Eng	CS
A1842	BE_63	Block3	Stim17	CSES	1	CS	1212	Eng	CS
A1843	BE_63	Block3	Stim27	CSES	1	CS	764	Eng	CS
A1844	BE_63	Block3	Stim28	CSES	1	CS	1033	Eng	CS
A1845	BE_63	Block3	Stim29	CSES	1	CS	1014	Eng	CS
A1846	BE_63	Block3	Stim03	CSES	1	CS	328	Eng	CS
A1847	BE_63	Block3	Stim32	CSES	1	CS	1360	Eng	CS
A1848	BE_63	Block3	Stim02	CSES	0	ML	404	Eng	CS
A1849	BE_63	Block3	Stim21	CSES	0	ML	1084	Eng	CS
A1850	BE_63	Block3	Stim26	CSES	0	ML	489	Eng	CS
A1881	BE_63	Block4	Stim01	CSES	1	CS	389	Eng	CS
A1882	BE_63	Block4	Stim02	CSES	1	CS	2338	Eng	CS
A1883	BE_63	Block4	Stim27	CSES	1	CS	357	Eng	CS
A1884	BE_63	Block4	Stim28	CSES	1	CS	465	Eng	CS
A1885	BE_63	Block4	Stim29	CSES	1	CS	510	Eng	CS
A1886	BE_63	Block4	Stim03	CSES	1	CS	2482	Eng	CS
A1887	BE_63	Block4	Stim32	CSES	1	CS	2022	Eng	CS
A1888	BE_63	Block4	Stim17	CSES	0	ML	1256	Eng	CS
A1889	BE_63	Block4	Stim21	CSES	0	ML	2301	Eng	CS
A1890	BE_63	Block4	Stim26	CSES	0	ML	710	Eng	CS
A1921	BE_68	Block1	Stim17	CSES	1	CS	2354	Eng	CS
A1922	BE_68	Block1	Stim02	CSES	1	CS	2301	Eng	CS
A1923	BE_68	Block1	Stim27	CSES	1	CS	1273	Eng	CS
A1924	BE_68	Block1	Stim03	CSES	1	CS	764	Eng	CS
