Subject	Context	Response	Number	Lg_Heard	Main_Context
BE_06	CS-ES	CS	21	Eng	CS
BE_07	CS-ES	CS	32	Eng	CS
BE_09	CS-ES	CS	19	Eng	CS
BE_19	CS-ES	CS	15	Eng	CS
BE_20	CS-ES	CS	19	Eng	CS
BE_33	CS-ES	CS	11	Eng	CS
BE_34	CS-ES	CS	23	Eng	CS
BE_42	CS-ES	CS	18	Eng	CS
BE_50	CS-ES	CS	16	Eng	CS
BE_51	CS-ES	CS	14	Eng	CS
BE_53	CS-ES	CS	15	Eng	CS
BE_63	CS-ES	CS	25	Eng	CS
BE_68	CS-ES	CS	24	Eng	CS
BE_06	CS-ES	ML	19	Eng	CS
BE_07	CS-ES	ML	8	Eng	CS
BE_09	CS-ES	ML	21	Eng	CS
BE_19	CS-ES	ML	25	Eng	CS
BE_20	CS-ES	ML	21	Eng	CS
BE_33	CS-ES	ML	29	Eng	CS
BE_34	CS-ES	ML	17	Eng	CS
BE_42	CS-ES	ML	22	Eng	CS
BE_50	CS-ES	ML	24	Eng	CS
BE_51	CS-ES	ML	26	Eng	CS
BE_53	CS-ES	ML	25	Eng	CS
BE_63	CS-ES	ML	15	Eng	CS
BE_68	CS-ES	ML	16	Eng	CS
BE_81	CS-ES	CS	24	Eng	CS
BE_81	CS-ES	ML	16	Eng	CS
BE_83	CS-ES	CS	15	Eng	CS
BE_83	CS-ES	ML	25	Eng	CS
BE_85	CS-ES	CS	21	Eng	CS
BE_85	CS-ES	ML	19	Eng	CS
BE_86	CS-ES	CS	20	Eng	CS
BE_86	CS-ES	ML	20	Eng	CS
BE_87	CS-ES	CS	15	Eng	CS
BE_87	CS-ES	ML	25	Eng	CS
BE_06	CS-SE	CS	24	Sp	CS
BE_07	CS-SE	CS	18	Sp	CS
BE_09	CS-SE	CS	13	Sp	CS
BE_19	CS-SE	CS	26	Sp	CS
BE_20	CS-SE	CS	12	Sp	CS
BE_33	CS-SE	CS	12	Sp	CS
BE_34	CS-SE	CS	25	Sp	CS
BE_42	CS-SE	CS	17	Sp	CS
BE_50	CS-SE	CS	24	Sp	CS
BE_51	CS-SE	CS	14	Sp	CS
BE_53	CS-SE	CS	17	Sp	CS
BE_63	CS-SE	CS	16	Sp	CS
BE_68	CS-SE	CS	21	Sp	CS
BE_06	CS-SE	ML	16	Sp	CS
BE_07	CS-SE	ML	22	Sp	CS
BE_09	CS-SE	ML	27	Sp	CS
BE_19	CS-SE	ML	14	Sp	CS
BE_20	CS-SE	ML	28	Sp	CS
BE_33	CS-SE	ML	28	Sp	CS
BE_34	CS-SE	ML	15	Sp	CS
BE_42	CS-SE	ML	23	Sp	CS
BE_50	CS-SE	ML	16	Sp	CS
BE_51	CS-SE	ML	26	Sp	CS
BE_53	CS-SE	ML	23	Sp	CS
BE_63	CS-SE	ML	24	Sp	CS
BE_68	CS-SE	ML	19	Sp	CS
BE_81	CS-SE	CS	18	Sp	CS
BE_81	CS-SE	ML	22	Sp	CS
BE_83	CS-SE	CS	15	Sp	CS
BE_83	CS-SE	ML	25	Sp	CS
BE_85	CS-SE	CS	14	Sp	CS
BE_85	CS-SE	ML	26	Sp	CS
BE_86	CS-SE	CS	25	Sp	CS
BE_86	CS-SE	ML	15	Sp	CS
BE_87	CS-SE	CS	20	Sp	CS
BE_87	CS-SE	ML	20	Sp	CS
BE_06	E	CS	19	Eng	ML
BE_07	E	CS	21	Eng	ML
BE_09	E	CS	16	Eng	ML
BE_19	E	CS	7	Eng	ML
BE_20	E	CS	17	Eng	ML
BE_33	E	CS	11	Eng	ML
BE_34	E	CS	18	Eng	ML
BE_42	E	CS	12	Eng	ML
BE_50	E	CS	10	Eng	ML
BE_51	E	CS	12	Eng	ML
BE_53	E	CS	8	Eng	ML
BE_63	E	CS	10	Eng	ML
BE_68	E	CS	14	Eng	ML
BE_06	E	ML	21	Eng	ML
BE_07	E	ML	19	Eng	ML
BE_09	E	ML	24	Eng	ML
BE_19	E	ML	33	Eng	ML
BE_20	E	ML	23	Eng	ML
BE_33	E	ML	29	Eng	ML
BE_34	E	ML	22	Eng	ML
BE_42	E	ML	28	Eng	ML
BE_50	E	ML	30	Eng	ML
BE_51	E	ML	28	Eng	ML
BE_53	E	ML	32	Eng	ML
BE_63	E	ML	30	Eng	ML
BE_68	E	ML	26	Eng	ML
BE_81	E	CS	10	Eng	ML
BE_81	E	ML	30	Eng	ML
BE_83	E	CS	11	Eng	ML
BE_83	E	ML	29	Eng	ML
BE_85	E	CS	14	Eng	ML
BE_85	E	ML	26	Eng	ML
BE_86	E	CS	13	Eng	ML
BE_86	E	ML	27	Eng	ML
BE_87	E	CS	13	Eng	ML
BE_87	E	ML	27	Eng	ML
BE_06	S	CS	24	Sp	ML
BE_07	S	CS	22	Sp	ML
BE_09	S	CS	17	Sp	ML
BE_19	S	CS	28	Sp	ML
BE_20	S	CS	18	Sp	ML
BE_33	S	CS	21	Sp	ML
BE_34	S	CS	22	Sp	ML
BE_42	S	CS	18	Sp	ML
BE_50	S	CS	9	Sp	ML
BE_51	S	CS	19	Sp	ML
BE_53	S	CS	18	Sp	ML
BE_63	S	CS	18	Sp	ML
BE_68	S	CS	22	Sp	ML
BE_06	S	ML	16	Sp	ML
BE_07	S	ML	18	Sp	ML
BE_09	S	ML	23	Sp	ML
BE_19	S	ML	12	Sp	ML
BE_20	S	ML	22	Sp	ML
BE_33	S	ML	19	Sp	ML
BE_34	S	ML	18	Sp	ML
BE_42	S	ML	22	Sp	ML
BE_50	S	ML	31	Sp	ML
BE_51	S	ML	21	Sp	ML
BE_53	S	ML	22	Sp	ML
BE_63	S	ML	22	Sp	ML
BE_68	S	ML	18	Sp	ML
BE_81	S	CS	13	Sp	ML
BE_81	S	ML	27	Sp	ML
BE_83	S	CS	18	Sp	ML
BE_83	S	ML	22	Sp	ML
BE_85	S	CS	15	Sp	ML
BE_85	S	ML	25	Sp	ML
BE_86	S	CS	17	Sp	ML
BE_86	S	ML	23	Sp	ML
BE_87	S	CS	20	Sp	ML
BE_87	S	ML	20	Sp	ML
