Subject	Context	Response	Number	Lg_Heard	Main_Context
BE_11	CS-ES	CS	12	Eng	CS
BE_18	CS-ES	CS	20	Eng	CS
BE_36	CS-ES	CS	18	Eng	CS
BE_39	CS-ES	CS	10	Eng	CS
BE_40	CS-ES	CS	18	Eng	CS
BE_47	CS-ES	CS	11	Eng	CS
BE_59	CS-ES	CS	10	Eng	CS
BE_61	CS-ES	CS	9	Eng	CS
BE_62	CS-ES	CS	11	Eng	CS
BE_73	CS-ES	CS	9	Eng	CS
BE_78	CS-ES	CS	18	Eng	CS
BE_79	CS-ES	CS	14	Eng	CS
BE_11	CS-ES	ML	28	Eng	CS
BE_18	CS-ES	ML	20	Eng	CS
BE_36	CS-ES	ML	22	Eng	CS
BE_39	CS-ES	ML	30	Eng	CS
BE_40	CS-ES	ML	22	Eng	CS
BE_47	CS-ES	ML	29	Eng	CS
BE_59	CS-ES	ML	30	Eng	CS
BE_61	CS-ES	ML	31	Eng	CS
BE_62	CS-ES	ML	29	Eng	CS
BE_73	CS-ES	ML	31	Eng	CS
BE_78	CS-ES	ML	22	Eng	CS
BE_79	CS-ES	ML	26	Eng	CS
BE_11	CS-SE	CS	12	Sp	CS
BE_18	CS-SE	CS	7	Sp	CS
BE_36	CS-SE	CS	10	Sp	CS
BE_39	CS-SE	CS	16	Sp	CS
BE_40	CS-SE	CS	12	Sp	CS
BE_47	CS-SE	CS	10	Sp	CS
BE_59	CS-SE	CS	11	Sp	CS
BE_61	CS-SE	CS	9	Sp	CS
BE_62	CS-SE	CS	11	Sp	CS
BE_73	CS-SE	CS	10	Sp	CS
BE_78	CS-SE	CS	21	Sp	CS
BE_79	CS-SE	CS	9	Sp	CS
BE_11	CS-SE	ML	28	Sp	CS
BE_18	CS-SE	ML	33	Sp	CS
BE_36	CS-SE	ML	30	Sp	CS
BE_39	CS-SE	ML	24	Sp	CS
BE_40	CS-SE	ML	28	Sp	CS
BE_47	CS-SE	ML	30	Sp	CS
BE_59	CS-SE	ML	29	Sp	CS
BE_61	CS-SE	ML	31	Sp	CS
BE_62	CS-SE	ML	29	Sp	CS
BE_73	CS-SE	ML	30	Sp	CS
BE_78	CS-SE	ML	19	Sp	CS
BE_79	CS-SE	ML	31	Sp	CS
BE_11	E	CS	4	Eng	ML
BE_18	E	CS	14	Eng	ML
BE_36	E	CS	10	Eng	ML
BE_39	E	CS	7	Eng	ML
BE_40	E	CS	6	Eng	ML
BE_47	E	CS	7	Eng	ML
BE_59	E	CS	8	Eng	ML
BE_61	E	CS	13	Eng	ML
BE_62	E	CS	9	Eng	ML
BE_73	E	CS	11	Eng	ML
BE_78	E	CS	9	Eng	ML
BE_79	E	CS	7	Eng	ML
BE_11	E	ML	36	Eng	ML
BE_18	E	ML	26	Eng	ML
BE_36	E	ML	30	Eng	ML
BE_39	E	ML	33	Eng	ML
BE_40	E	ML	34	Eng	ML
BE_47	E	ML	33	Eng	ML
BE_59	E	ML	32	Eng	ML
BE_61	E	ML	27	Eng	ML
BE_62	E	ML	31	Eng	ML
BE_73	E	ML	29	Eng	ML
BE_78	E	ML	31	Eng	ML
BE_79	E	ML	33	Eng	ML
BE_11	S	CS	12	Sp	ML
BE_18	S	CS	7	Sp	ML
BE_36	S	CS	15	Sp	ML
BE_39	S	CS	14	Sp	ML
BE_40	S	CS	14	Sp	ML
BE_47	S	CS	19	Sp	ML
BE_59	S	CS	17	Sp	ML
BE_61	S	CS	13	Sp	ML
BE_62	S	CS	13	Sp	ML
BE_73	S	CS	11	Sp	ML
BE_78	S	CS	19	Sp	ML
BE_79	S	CS	11	Sp	ML
BE_11	S	ML	28	Sp	ML
BE_18	S	ML	33	Sp	ML
BE_36	S	ML	25	Sp	ML
BE_39	S	ML	26	Sp	ML
BE_40	S	ML	26	Sp	ML
BE_47	S	ML	21	Sp	ML
BE_59	S	ML	23	Sp	ML
BE_61	S	ML	27	Sp	ML
BE_62	S	ML	27	Sp	ML
BE_73	S	ML	29	Sp	ML
BE_78	S	ML	21	Sp	ML
BE_79	S	ML	29	Sp	ML
