Item	Subject	Block	Stimuli	Context	Response	Key	Correct	Error	RT	Lg_Heard	Main_Context
A481	BE_11	Block1	Stim01	CSES	Spanish	m	Spanish	CS	1734	Eng	CS
A482	BE_11	Block1	Stim02	CSES	Spanish	m	Spanish	CS	1712	Eng	CS
A483	BE_11	Block1	Stim26	CSES	Spanish	m	Spanish	CS	1927	Eng	CS
A484	BE_11	Block1	Stim27	CSES	Spanish	m	Spanish	CS	1338	Eng	CS
A485	BE_11	Block1	Stim28	CSES	Spanish	m	Spanish	CS	1958	Eng	CS
A486	BE_11	Block1	Stim03	CSES	Spanish	m	Spanish	CS	1002	Eng	CS
A521	BE_11	Block2	Stim03	CSES	Spanish	m	Spanish	CS	858	Eng	CS
A561	BE_11	Block3	Stim01	CSES	Spanish	m	Spanish	CS	1102	Eng	CS
A562	BE_11	Block3	Stim17	CSES	Spanish	m	Spanish	CS	3644	Eng	CS
A563	BE_11	Block3	Stim21	CSES	Spanish	m	Spanish	CS	792	Eng	CS
A564	BE_11	Block3	Stim28	CSES	Spanish	m	Spanish	CS	4692	Eng	CS
A601	BE_11	Block4	Stim26	CSES	Spanish	m	Spanish	CS	1178	Eng	CS
A642	BE_18	Block1	Stim01	CSES	Spanish	m	Spanish	CS	1185	Eng	CS
A643	BE_18	Block1	Stim02	CSES	Spanish	m	Spanish	CS	1064	Eng	CS
A644	BE_18	Block1	Stim27	CSES	Spanish	m	Spanish	CS	1838	Eng	CS
A645	BE_18	Block1	Stim28	CSES	Spanish	m	Spanish	CS	617	Eng	CS
A646	BE_18	Block1	Stim03	CSES	Spanish	m	Spanish	CS	775	Eng	CS
A682	BE_18	Block2	Stim01	CSES	Spanish	m	Spanish	CS	1521	Eng	CS
A683	BE_18	Block2	Stim02	CSES	Spanish	m	Spanish	CS	943	Eng	CS
A684	BE_18	Block2	Stim26	CSES	Spanish	m	Spanish	CS	680	Eng	CS
A685	BE_18	Block2	Stim28	CSES	Spanish	m	Spanish	CS	1008	Eng	CS
A686	BE_18	Block2	Stim29	CSES	Spanish	m	Spanish	CS	839	Eng	CS
A722	BE_18	Block3	Stim01	CSES	Spanish	m	Spanish	CS	911	Eng	CS
A723	BE_18	Block3	Stim17	CSES	Spanish	m	Spanish	CS	1391	Eng	CS
A724	BE_18	Block3	Stim21	CSES	Spanish	m	Spanish	CS	1119	Eng	CS
A725	BE_18	Block3	Stim26	CSES	Spanish	m	Spanish	CS	813	Eng	CS
A726	BE_18	Block3	Stim27	CSES	Spanish	m	Spanish	CS	990	Eng	CS
A727	BE_18	Block3	Stim28	CSES	Spanish	m	Spanish	CS	1283	Eng	CS
A761	BE_18	Block4	Stim26	CSES	Spanish	m	Spanish	CS	402	Eng	CS
A762	BE_18	Block4	Stim28	CSES	Spanish	m	Spanish	CS	652	Eng	CS
A763	BE_18	Block4	Stim29	CSES	Spanish	m	Spanish	CS	327	Eng	CS
A764	BE_18	Block4	Stim32	CSES	Spanish	m	Spanish	CS	511	Eng	CS
A1441	BE_36	Block1	Stim28	CSES	Spanish	m	Spanish	CS	1318	Eng	CS
A1442	BE_36	Block1	Stim29	CSES	Spanish	m	Spanish	CS	2585	Eng	CS
A1481	BE_36	Block2	Stim02	CSES	Spanish	m	Spanish	CS	1108	Eng	CS
A1482	BE_36	Block2	Stim26	CSES	Spanish	m	Spanish	CS	674	Eng	CS
A1483	BE_36	Block2	Stim27	CSES	Spanish	m	Spanish	CS	5687	Eng	CS
A1484	BE_36	Block2	Stim03	CSES	Spanish	m	Spanish	CS	1314	Eng	CS
A1521	BE_36	Block3	Stim17	CSES	Spanish	m	Spanish	CS	708	Eng	CS
A1522	BE_36	Block3	Stim02	CSES	Spanish	m	Spanish	CS	2034	Eng	CS
A1523	BE_36	Block3	Stim26	CSES	Spanish	m	Spanish	CS	1795	Eng	CS
A1524	BE_36	Block3	Stim28	CSES	Spanish	m	Spanish	CS	716	Eng	CS
A1525	BE_36	Block3	Stim29	CSES	Spanish	m	Spanish	CS	596	Eng	CS
A1526	BE_36	Block3	Stim03	CSES	Spanish	m	Spanish	CS	263	Eng	CS
A1561	BE_36	Block4	Stim02	CSES	Spanish	m	Spanish	CS	452	Eng	CS
A1562	BE_36	Block4	Stim21	CSES	Spanish	m	Spanish	CS	764	Eng	CS
A1563	BE_36	Block4	Stim26	CSES	Spanish	m	Spanish	CS	460	Eng	CS
A1564	BE_36	Block4	Stim28	CSES	Spanish	m	Spanish	CS	618	Eng	CS
A1565	BE_36	Block4	Stim29	CSES	Spanish	m	Spanish	CS	563	Eng	CS
A1566	BE_36	Block4	Stim03	CSES	Spanish	m	Spanish	CS	1539	Eng	CS
A1601	BE_39	Block1	Stim29	CSES	Spanish	m	Spanish	CS	8964	Eng	CS
A1641	BE_39	Block2	Stim01	CSES	Spanish	m	Spanish	CS	10544	Eng	CS
A1642	BE_39	Block2	Stim17	CSES	Spanish	m	Spanish	CS	4174	Eng	CS
A1643	BE_39	Block2	Stim27	CSES	Spanish	m	Spanish	CS	3024	Eng	CS
A1681	BE_39	Block3	Stim27	CSES	Spanish	m	Spanish	CS	3297	Eng	CS
A1682	BE_39	Block3	Stim28	CSES	Spanish	m	Spanish	CS	3657	Eng	CS
A1683	BE_39	Block3	Stim03	CSES	Spanish	m	Spanish	CS	3784	Eng	CS
A1684	BE_39	Block3	Stim32	CSES	Spanish	m	Spanish	CS	4599	Eng	CS
A1721	BE_39	Block4	Stim01	CSES	Spanish	m	Spanish	CS	5706	Eng	CS
A1722	BE_39	Block4	Stim17	CSES	Spanish	m	Spanish	CS	1238	Eng	CS
A1761	BE_40	Block1	Stim26	CSES	Spanish	m	Spanish	CS	2236	Eng	CS
A1762	BE_40	Block1	Stim27	CSES	Spanish	m	Spanish	CS	321	Eng	CS
A1801	BE_40	Block2	Stim26	CSES	Spanish	m	Spanish	CS	1321	Eng	CS
A1802	BE_40	Block2	Stim27	CSES	Spanish	m	Spanish	CS	288	Eng	CS
A1803	BE_40	Block2	Stim28	CSES	Spanish	m	Spanish	CS	873	Eng	CS
A1804	BE_40	Block2	Stim29	CSES	Spanish	m	Spanish	CS	804	Eng	CS
