"Item"	"Subject"	"Block"	"Stimuli"	"Context"	"Correct"	"Response"	"RT"	"RT_log"	"Lg_Heard"	"Main_Context"	"Group"
"1"	"A1"	"BE_03"	"Block1"	"Stim01"	"CSES"	0	"ML"	1336	3.125806458	"Eng"	"CS"	"nonsw"
"2"	"A2"	"BE_06"	"Block1"	"Stim21"	"CSES"	1	"CS"	883	2.945960704	"Eng"	"CS"	"supsw"
"3"	"A3"	"BE_03"	"Block1"	"Stim17"	"CSES"	0	"ML"	2876	3.458788882	"Eng"	"CS"	"nonsw"
"4"	"A4"	"BE_06"	"Block1"	"Stim26"	"CSES"	1	"CS"	1458	3.163757524	"Eng"	"CS"	"supsw"
"5"	"A5"	"BE_03"	"Block1"	"Stim02"	"CSES"	1	"CS"	1198	3.078456818	"Eng"	"CS"	"nonsw"
"6"	"A6"	"BE_06"	"Block1"	"Stim27"	"CSES"	1	"CS"	2401	3.38039216	"Eng"	"CS"	"supsw"
"7"	"A7"	"BE_03"	"Block1"	"Stim21"	"CSES"	0	"ML"	1714	3.234010818	"Eng"	"CS"	"nonsw"
"8"	"A8"	"BE_06"	"Block1"	"Stim28"	"CSES"	1	"CS"	1449	3.161068385	"Eng"	"CS"	"supsw"
"9"	"A9"	"BE_03"	"Block1"	"Stim26"	"CSES"	1	"CS"	1670	3.222716471	"Eng"	"CS"	"nonsw"
"10"	"A10"	"BE_06"	"Block1"	"Stim29"	"CSES"	1	"CS"	1701	3.230704314	"Eng"	"CS"	"supsw"
"11"	"A11"	"BE_03"	"Block1"	"Stim27"	"CSES"	1	"CS"	2735	3.436957331	"Eng"	"CS"	"nonsw"
"12"	"A12"	"BE_06"	"Block1"	"Stim03"	"CSES"	1	"CS"	1908	3.28057837	"Eng"	"CS"	"supsw"
"13"	"A13"	"BE_03"	"Block1"	"Stim28"	"CSES"	0	"ML"	6055	3.782114147	"Eng"	"CS"	"nonsw"
"14"	"A14"	"BE_06"	"Block1"	"Stim01"	"CSES"	0	"ML"	2130	3.328379603	"Eng"	"CS"	"supsw"
"15"	"A15"	"BE_03"	"Block1"	"Stim29"	"CSES"	1	"CS"	3657	3.56312496	"Eng"	"CS"	"nonsw"
"16"	"A16"	"BE_06"	"Block1"	"Stim17"	"CSES"	0	"ML"	1451	3.161667412	"Eng"	"CS"	"supsw"
"17"	"A17"	"BE_03"	"Block1"	"Stim03"	"CSES"	1	"CS"	1850	3.267171728	"Eng"	"CS"	"nonsw"
"18"	"A18"	"BE_06"	"Block1"	"Stim02"	"CSES"	0	"ML"	1498	3.175511813	"Eng"	"CS"	"supsw"
"19"	"A19"	"BE_03"	"Block1"	"Stim32"	"CSES"	1	"CS"	1697	3.229681842	"Eng"	"CS"	"nonsw"
"20"	"A20"	"BE_06"	"Block1"	"Stim32"	"CSES"	0	"ML"	2969	3.472610198	"Eng"	"CS"	"supsw"
"21"	"A21"	"BE_03"	"Block1"	"Stim13"	"CSSE"	0	"ML"	2485	3.395326393	"Sp"	"CS"	"nonsw"
"22"	"A22"	"BE_06"	"Block1"	"Stim13"	"CSSE"	1	"CS"	4091	3.611829479	"Sp"	"CS"	"supsw"
"23"	"A23"	"BE_03"	"Block1"	"Stim18"	"CSSE"	0	"ML"	2701	3.431524584	"Sp"	"CS"	"nonsw"
