Item	Subject	Block	Stimuli	Context	Correct	Response	RT	RT_log	Lg_Heard	Main_Context	Group
A1	BE_03	Block1	Stim01	CSES	0	ML	1336	3.125806458	Eng	CS	nonsw
A2	BE_06	Block1	Stim21	CSES	1	CS	883	2.945960704	Eng	CS	supsw
A3	BE_03	Block1	Stim17	CSES	0	ML	2876	3.458788882	Eng	CS	nonsw
A4	BE_06	Block1	Stim26	CSES	1	CS	1458	3.163757524	Eng	CS	supsw
A5	BE_03	Block1	Stim02	CSES	1	CS	1198	3.078456818	Eng	CS	nonsw
A6	BE_06	Block1	Stim27	CSES	1	CS	2401	3.38039216	Eng	CS	supsw
A7	BE_03	Block1	Stim21	CSES	0	ML	1714	3.234010818	Eng	CS	nonsw
A8	BE_06	Block1	Stim28	CSES	1	CS	1449	3.161068385	Eng	CS	supsw
A9	BE_03	Block1	Stim26	CSES	1	CS	1670	3.222716471	Eng	CS	nonsw
A10	BE_06	Block1	Stim29	CSES	1	CS	1701	3.230704314	Eng	CS	supsw
A11	BE_03	Block1	Stim27	CSES	1	CS	2735	3.436957331	Eng	CS	nonsw
A12	BE_06	Block1	Stim03	CSES	1	CS	1908	3.28057837	Eng	CS	supsw
A13	BE_03	Block1	Stim28	CSES	0	ML	6055	3.782114147	Eng	CS	nonsw
A14	BE_06	Block1	Stim01	CSES	0	ML	2130	3.328379603	Eng	CS	supsw
A15	BE_03	Block1	Stim29	CSES	1	CS	3657	3.56312496	Eng	CS	nonsw
A16	BE_06	Block1	Stim17	CSES	0	ML	1451	3.161667412	Eng	CS	supsw
A17	BE_03	Block1	Stim03	CSES	1	CS	1850	3.267171728	Eng	CS	nonsw
A18	BE_06	Block1	Stim02	CSES	0	ML	1498	3.175511813	Eng	CS	supsw
A19	BE_03	Block1	Stim32	CSES	1	CS	1697	3.229681842	Eng	CS	nonsw
A20	BE_06	Block1	Stim32	CSES	0	ML	2969	3.472610198	Eng	CS	supsw
A21	BE_03	Block1	Stim13	CSSE	0	ML	2485	3.395326393	Sp	CS	nonsw
A22	BE_06	Block1	Stim13	CSSE	1	CS	4091	3.611829479	Sp	CS	supsw
A23	BE_03	Block1	Stim18	CSSE	0	ML	2701	3.431524584	Sp	CS	nonsw
A24	BE_06	Block1	Stim18	CSSE	1	CS	2093	3.320769228	Sp	CS	supsw
A25	BE_03	Block1	Stim22	CSSE	1	CS	4289	3.632356046	Sp	CS	nonsw
A26	BE_06	Block1	Stim22	CSSE	1	CS	2911	3.464042205	Sp	CS	supsw
A27	BE_03	Block1	Stim23	CSSE	0	ML	3668	3.564429327	Sp	CS	nonsw
A28	BE_06	Block1	Stim30	CSSE	1	CS	3021	3.480150725	Sp	CS	supsw
A29	BE_03	Block1	Stim24	CSSE	1	CS	2550	3.40654018	Sp	CS	nonsw
A30	BE_06	Block1	Stim36	CSSE	1	CS	711	2.851869601	Sp	CS	supsw
A31	BE_03	Block1	Stim30	CSSE	0	ML	1225	3.088136089	Sp	CS	nonsw
