Group	Lg_Heard	Main_Context	Response	Estimate
nonsw	Eng	ML	ML	2.908289
nonsw	Eng	ML	CS	3.072672
nonsw	Eng	CS	ML	2.903129
nonsw	Eng	CS	CS	3.097865
nonsw	Sp	ML	ML	2.869631
nonsw	Sp	ML	CS	3.118487
nonsw	Sp	CS	ML	2.926154
nonsw	Sp	CS	CS	3.105221
sw	Eng	ML	ML	3.11068
sw	Eng	ML	CS	3.16488
sw	Eng	CS	ML	3.09831
sw	Eng	CS	CS	3.13559
sw	Sp	ML	ML	3.09866
sw	Sp	ML	CS	3.25726
sw	Sp	CS	ML	3.11923
sw	Sp	CS	CS	3.20053
supsw	Eng	ML	ML	3.18212
supsw	Eng	ML	CS	3.174737
supsw	Eng	CS	ML	3.150145
supsw	Eng	CS	CS	3.139832
supsw	Sp	ML	ML	3.143202
supsw	Sp	ML	CS	3.241736
supsw	Sp	CS	ML	3.188864
supsw	Sp	CS	CS	3.243529
